date_time,Comoros_maxtempC,Comoros_mintempC,Comoros_totalSnow_cm,Comoros_sunHour,Comoros_uvIndex,Comoros_moon_illumination,Comoros_moonrise,Comoros_moonset,Comoros_sunrise,Comoros_sunset,Comoros_DewPointC,Comoros_FeelsLikeC,Comoros_HeatIndexC,Comoros_WindChillC,Comoros_WindGustKmph,Comoros_cloudcover,Comoros_humidity,Comoros_precipMM,Comoros_pressure,Comoros_tempC,Comoros_visibility,Comoros_winddirDegree,Comoros_windspeedKmph,Comoros_location
2020-01-01,27,25,0.0,11.9,6,37,10:50 AM,11:22 PM,05:46 AM,06:34 PM,22,28,28,26,46,54,80,0.3,1008,27,10,353,28,Comoros
2020-01-02,29,25,0.0,10.6,6,44,11:35 AM,11:59 PM,05:47 AM,06:35 PM,22,28,28,26,36,50,79,0.4,1010,29,10,138,22,Comoros
2020-01-03,28,24,0.0,11.9,6,51,12:20 PM,No moonset,05:48 AM,06:35 PM,22,27,27,25,27,36,82,1.9,1012,28,10,184,16,Comoros
2020-01-04,27,24,0.0,10.6,6,59,01:05 PM,12:36 AM,05:48 AM,06:35 PM,22,28,28,26,18,47,83,5.2,1012,27,10,174,12,Comoros
2020-01-05,26,23,0.0,10.6,5,66,01:52 PM,01:14 AM,05:49 AM,06:36 PM,21,26,26,24,18,46,80,1.8,1010,26,10,179,10,Comoros
2020-01-06,27,24,0.0,9.3,6,73,02:41 PM,01:54 AM,05:49 AM,06:36 PM,21,27,27,25,19,58,77,3.8,1009,27,10,217,11,Comoros
2020-01-07,28,24,0.0,9.3,6,80,03:34 PM,02:37 AM,05:50 AM,06:36 PM,22,28,28,25,19,59,83,5.9,1010,28,10,167,12,Comoros
2020-01-08,28,24,0.0,10.6,6,88,04:29 PM,03:25 AM,05:50 AM,06:37 PM,22,28,28,25,9,43,81,7.4,1011,28,9,191,5,Comoros
2020-01-09,27,24,0.0,10.6,6,95,05:28 PM,04:16 AM,05:51 AM,06:37 PM,21,27,27,25,9,41,78,3.0,1010,27,10,197,5,Comoros
2020-01-10,27,19,0.0,10.6,6,100,06:26 PM,05:13 AM,05:51 AM,06:37 PM,22,27,27,25,7,53,80,11.8,1010,27,9,196,4,Comoros
2020-01-11,28,24,0.0,10.6,6,100,07:25 PM,06:13 AM,05:52 AM,06:37 PM,22,28,28,26,8,55,78,20.1,1010,28,8,160,5,Comoros
2020-01-12,28,24,0.0,9.3,6,83,08:21 PM,07:15 AM,05:53 AM,06:38 PM,21,28,28,25,7,67,76,20.8,1009,28,8,209,4,Comoros
2020-01-13,26,19,0.0,9.3,5,76,09:14 PM,08:16 AM,05:53 AM,06:38 PM,21,26,26,24,15,70,79,19.4,1009,26,9,164,8,Comoros
2020-01-14,29,24,0.0,9.3,6,69,10:03 PM,09:16 AM,05:54 AM,06:38 PM,21,28,28,26,17,73,77,9.5,1009,29,9,180,10,Comoros
2020-01-15,28,25,0.0,8.0,6,61,10:49 PM,10:13 AM,05:54 AM,06:38 PM,21,28,28,26,17,79,78,19.7,1010,28,8,190,10,Comoros
2020-01-16,28,24,0.0,9.3,6,54,11:35 PM,11:09 AM,05:55 AM,06:38 PM,22,28,28,25,24,75,80,10.1,1009,28,9,264,14,Comoros
2020-01-17,26,18,0.0,9.3,5,47,No moonrise,12:04 PM,05:55 AM,06:38 PM,22,26,26,24,29,81,84,23.2,1009,26,9,176,17,Comoros
2020-01-18,29,24,0.0,9.3,6,40,12:19 AM,12:58 PM,05:56 AM,06:39 PM,24,30,30,27,40,74,84,14.6,1008,29,9,304,26,Comoros
2020-01-19,28,20,0.0,9.3,6,32,01:05 AM,01:54 PM,05:56 AM,06:39 PM,23,28,28,25,48,79,84,10.4,1008,28,9,354,30,Comoros
2020-01-20,29,25,0.0,10.6,6,25,01:52 AM,02:49 PM,05:57 AM,06:39 PM,23,30,30,26,50,72,84,12.9,1007,29,9,349,32,Comoros
2020-01-21,29,25,0.0,10.6,6,18,02:42 AM,03:46 PM,05:57 AM,06:39 PM,23,29,29,26,56,72,83,8.2,1005,29,10,349,35,Comoros
2020-01-22,25,19,0.0,8.0,5,11,03:34 AM,04:41 PM,05:58 AM,06:39 PM,22,26,26,24,58,88,89,79.3,1007,25,7,335,31,Comoros
2020-01-23,24,18,0.0,8.0,5,3,04:27 AM,05:36 PM,05:58 AM,06:39 PM,21,25,25,23,35,90,89,35.6,1009,24,7,333,19,Comoros
2020-01-24,25,23,0.0,9.3,5,0,05:22 AM,06:27 PM,05:59 AM,06:39 PM,22,27,27,24,23,78,86,38.0,1010,25,7,130,13,Comoros
2020-01-25,28,24,0.0,10.6,6,0,06:15 AM,07:15 PM,05:59 AM,06:39 PM,21,28,28,26,12,76,76,8.0,1011,28,10,151,8,Comoros
2020-01-26,28,23,0.0,9.1,6,4,07:07 AM,07:59 PM,06:00 AM,06:39 PM,21,27,27,25,17,73,78,3.5,1011,28,10,254,10,Comoros
2020-01-27,28,23,0.0,11.8,6,11,07:56 AM,08:40 PM,06:00 AM,06:39 PM,21,27,27,25,8,55,78,4.6,1011,28,10,288,5,Comoros
2020-01-28,28,26,0.0,11.8,6,18,08:43 AM,09:19 PM,06:00 AM,06:39 PM,23,30,30,27,18,40,82,2.7,1010,28,10,176,13,Comoros
2020-01-29,28,25,0.0,8.9,6,26,09:29 AM,09:56 PM,06:01 AM,06:39 PM,22,30,30,27,14,31,77,0.4,1011,28,10,203,11,Comoros
2020-01-30,27,24,0.0,7.5,6,33,10:14 AM,10:33 PM,06:01 AM,06:39 PM,21,28,28,25,13,42,79,0.5,1011,27,10,323,8,Comoros
2020-01-31,28,25,0.0,6.2,6,37,10:59 AM,11:10 PM,06:02 AM,06:39 PM,23,29,29,27,8,77,80,23.3,1010,28,8,207,5,Comoros
2020-02-01,28,20,0.0,6.2,6,49,11:45 AM,11:48 PM,06:02 AM,06:39 PM,22,27,27,25,7,67,78,8.6,1009,28,9,146,5,Comoros
2020-02-02,28,18,0.0,8.9,6,57,12:31 PM,No moonset,06:03 AM,06:38 PM,22,27,27,25,11,50,79,5.1,1011,28,10,177,7,Comoros
2020-02-03,28,25,0.0,7.5,6,64,01:22 PM,12:29 AM,06:03 AM,06:38 PM,21,28,28,26,8,45,75,4.0,1012,28,10,132,5,Comoros
2020-02-04,27,18,0.0,8.9,6,72,02:14 PM,01:13 AM,06:03 AM,06:38 PM,22,27,27,25,5,61,77,1.5,1011,27,10,199,4,Comoros
2020-02-05,28,25,0.0,7.5,6,79,03:10 PM,02:02 AM,06:04 AM,06:38 PM,22,29,29,26,5,56,75,9.8,1011,28,9,188,3,Comoros
2020-02-06,28,24,0.0,6.2,6,87,04:08 PM,02:56 AM,06:04 AM,06:38 PM,21,28,28,25,18,72,79,41.4,1011,28,7,178,9,Comoros
2020-02-07,28,24,0.0,6.2,6,95,05:07 PM,03:54 AM,06:04 AM,06:38 PM,21,28,28,26,8,80,74,13.4,1012,28,9,202,5,Comoros
2020-02-08,29,24,0.0,6.2,6,100,06:05 PM,04:56 AM,06:05 AM,06:37 PM,21,28,28,26,7,66,75,2.2,1013,29,10,258,5,Comoros
2020-02-09,28,24,0.0,7.5,6,100,07:00 PM,05:58 AM,06:05 AM,06:37 PM,20,28,28,26,10,44,72,0.6,1012,28,10,198,7,Comoros
2020-02-10,28,19,0.0,8.9,6,83,07:53 PM,07:00 AM,06:05 AM,06:37 PM,22,27,27,25,5,53,76,3.9,1011,28,10,208,4,Comoros
2020-02-11,29,21,0.0,10.2,6,75,08:42 PM,08:01 AM,06:06 AM,06:36 PM,22,30,30,27,6,26,71,0.2,1010,29,10,209,5,Comoros
2020-02-12,27,25,0.0,7.5,6,68,09:30 PM,08:59 AM,06:06 AM,06:36 PM,21,29,29,26,5,43,75,3.3,1009,27,10,258,4,Comoros
2020-02-13,27,24,0.0,6.2,6,60,10:16 PM,09:57 AM,06:06 AM,06:36 PM,22,28,28,25,20,82,81,13.0,1010,27,9,221,12,Comoros
2020-02-14,28,25,0.0,8.9,6,53,11:03 PM,10:53 AM,06:06 AM,06:36 PM,22,29,29,26,14,69,80,5.6,1011,28,9,275,10,Comoros
2020-02-15,27,24,0.0,7.5,6,45,11:50 PM,11:49 AM,06:07 AM,06:35 PM,20,27,27,25,8,49,72,0.7,1011,27,10,153,6,Comoros
2020-02-16,26,24,0.0,7.5,6,38,No moonrise,12:45 PM,06:07 AM,06:35 PM,21,27,27,25,13,49,76,1.3,1011,26,10,257,8,Comoros
2020-02-17,27,19,0.0,7.5,6,30,12:39 AM,01:42 PM,06:07 AM,06:34 PM,22,27,27,24,18,61,77,2.3,1010,27,10,291,12,Comoros
2020-02-18,29,19,0.0,7.5,6,22,01:31 AM,02:37 PM,06:07 AM,06:34 PM,23,29,29,26,8,54,76,9.7,1011,29,9,253,6,Comoros
2020-02-19,28,25,0.0,7.5,6,15,02:23 AM,03:31 PM,06:08 AM,06:34 PM,22,30,30,27,10,60,77,1.6,1010,28,10,322,7,Comoros
2020-02-20,29,25,0.0,6.1,6,7,03:17 AM,04:22 PM,06:08 AM,06:33 PM,22,29,29,27,9,81,76,1.6,1009,29,9,281,7,Comoros
2020-02-21,29,25,0.0,6.1,6,0,04:09 AM,05:11 PM,06:08 AM,06:33 PM,23,30,30,27,19,73,79,7.8,1009,29,9,297,12,Comoros
2020-02-22,27,25,0.0,6.1,6,0,05:01 AM,05:56 PM,06:08 AM,06:32 PM,22,29,29,26,22,81,79,18.9,1009,27,9,153,12,Comoros
2020-02-23,28,25,0.0,6.1,6,0,05:51 AM,06:38 PM,06:08 AM,06:32 PM,22,28,28,26,27,82,78,9.9,1009,28,9,148,16,Comoros
2020-02-24,28,25,0.0,6.1,6,0,06:38 AM,07:18 PM,06:09 AM,06:31 PM,22,29,29,26,29,82,80,2.3,1009,28,10,257,18,Comoros
2020-02-25,29,25,0.0,6.1,6,8,07:25 AM,07:55 PM,06:09 AM,06:31 PM,23,30,30,27,30,63,80,18.3,1008,29,8,340,18,Comoros
2020-02-26,27,25,0.0,6.1,6,15,08:10 AM,08:31 PM,06:09 AM,06:31 PM,24,30,30,27,24,66,85,21.3,1009,27,9,342,15,Comoros
2020-02-27,28,26,0.0,7.5,6,23,08:55 AM,09:08 PM,06:09 AM,06:30 PM,24,31,31,27,15,53,84,9.3,1010,28,9,307,10,Comoros
2020-02-28,29,25,0.0,11.6,6,30,09:40 AM,09:46 PM,06:09 AM,06:30 PM,23,31,31,27,9,23,76,3.6,1009,29,10,223,7,Comoros
2020-02-29,28,25,0.0,6.1,6,38,10:26 AM,10:25 PM,06:09 AM,06:29 PM,22,29,29,26,12,75,78,11.9,1008,28,9,269,8,Comoros
2020-03-01,29,25,0.0,6.1,6,44,11:14 AM,11:07 PM,06:10 AM,06:28 PM,24,30,30,27,25,79,84,11.5,1006,29,9,192,17,Comoros
2020-03-02,29,25,0.0,8.8,6,51,12:04 PM,11:52 PM,06:10 AM,06:28 PM,23,30,30,27,27,55,81,1.2,1008,29,10,179,19,Comoros
2020-03-03,28,24,0.0,7.5,6,58,12:57 PM,No moonset,06:10 AM,06:27 PM,24,30,30,27,25,66,84,3.4,1010,28,10,186,19,Comoros
2020-03-04,29,24,0.0,7.5,6,65,01:53 PM,12:42 AM,06:10 AM,06:27 PM,22,28,28,26,26,46,79,1.0,1011,29,10,181,17,Comoros
2020-03-05,28,25,0.0,8.8,6,73,02:50 PM,01:37 AM,06:10 AM,06:26 PM,23,30,30,26,24,62,83,0.9,1011,28,10,186,17,Comoros
2020-03-06,29,26,0.0,10.2,6,80,03:47 PM,02:35 AM,06:10 AM,06:26 PM,23,30,30,27,17,28,77,0.1,1010,29,10,176,14,Comoros
2020-03-07,28,25,0.0,8.8,6,87,04:43 PM,03:37 AM,06:10 AM,06:25 PM,23,29,29,26,13,59,81,10.9,1009,28,9,185,8,Comoros
2020-03-08,30,24,0.0,6.1,6,95,05:37 PM,04:39 AM,06:10 AM,06:25 PM,22,29,29,26,16,65,78,5.3,1009,30,10,171,10,Comoros
2020-03-09,29,24,0.0,8.8,6,100,06:28 PM,05:41 AM,06:10 AM,06:24 PM,23,30,30,27,16,55,83,1.0,1008,29,10,187,12,Comoros
2020-03-10,29,25,0.0,7.4,6,100,07:18 PM,06:41 AM,06:10 AM,06:23 PM,23,30,30,27,17,68,81,26.6,1007,29,8,151,10,Comoros
2020-03-11,27,26,0.0,6.1,6,84,08:06 PM,07:41 AM,06:11 AM,06:23 PM,22,29,29,26,7,72,78,4.4,1008,27,9,218,5,Comoros
2020-03-12,27,19,0.0,7.4,6,76,08:54 PM,08:39 AM,06:11 AM,06:22 PM,22,27,27,25,9,58,78,6.4,1008,27,9,177,5,Comoros
2020-03-13,29,26,0.0,7.4,6,69,09:43 PM,09:38 AM,06:11 AM,06:22 PM,23,31,31,28,8,65,76,9.5,1009,29,9,189,5,Comoros
2020-03-14,29,25,0.0,6.1,6,62,10:33 PM,10:36 AM,06:11 AM,06:21 PM,22,30,30,27,7,79,76,20.6,1009,29,8,276,4,Comoros
2020-03-15,29,24,0.0,6.0,6,55,11:26 PM,11:35 AM,06:11 AM,06:20 PM,22,29,29,26,10,74,80,25.3,1008,29,8,265,6,Comoros
2020-03-16,29,24,0.0,8.8,6,47,No moonrise,12:32 PM,06:11 AM,06:20 PM,22,29,29,27,18,52,76,0.6,1007,29,10,179,13,Comoros
2020-03-17,29,24,0.0,6.0,6,40,12:19 AM,01:28 PM,06:11 AM,06:19 PM,21,28,28,26,17,64,74,0.8,1009,29,10,170,11,Comoros
2020-03-18,28,24,0.0,6.0,6,33,01:13 AM,02:20 PM,06:11 AM,06:19 PM,21,28,28,26,10,65,73,3.0,1010,28,10,179,7,Comoros
2020-03-19,28,24,0.0,7.4,6,25,02:06 AM,03:10 PM,06:11 AM,06:18 PM,21,28,28,26,7,54,73,0.9,1011,28,10,203,5,Comoros
2020-03-20,29,24,0.0,7.4,6,18,02:58 AM,03:55 PM,06:11 AM,06:17 PM,20,28,28,26,7,57,70,0.9,1012,29,10,181,5,Comoros
2020-03-21,28,19,0.0,6.0,6,11,03:48 AM,04:37 PM,06:11 AM,06:17 PM,22,28,28,25,7,57,77,1.3,1011,28,10,133,4,Comoros
2020-03-22,29,24,0.0,6.0,6,4,04:36 AM,05:18 PM,06:11 AM,06:16 PM,22,30,30,27,9,57,74,1.5,1011,29,10,168,7,Comoros
2020-03-23,29,25,0.0,6.0,6,0,05:23 AM,05:55 PM,06:11 AM,06:15 PM,22,29,29,27,11,76,76,14.0,1012,29,9,154,7,Comoros
2020-03-24,28,20,0.0,8.8,6,0,06:08 AM,06:32 PM,06:11 AM,06:15 PM,23,29,29,26,6,33,77,2.4,1011,28,10,168,5,Comoros
2020-03-25,30,24,0.0,7.4,6,3,06:52 AM,07:08 PM,06:11 AM,06:14 PM,22,29,29,26,12,34,77,1.1,1008,30,10,141,8,Comoros
2020-03-26,28,25,0.0,7.4,6,11,07:38 AM,07:46 PM,06:11 AM,06:14 PM,22,29,29,26,7,35,75,0.6,1008,28,10,236,5,Comoros
2020-03-27,28,24,0.0,7.4,6,18,08:23 AM,08:24 PM,06:11 AM,06:13 PM,22,29,29,26,5,68,76,0.8,1010,28,10,196,3,Comoros
2020-03-28,28,24,0.0,8.8,6,25,09:10 AM,09:04 PM,06:11 AM,06:12 PM,22,29,29,26,8,25,76,0.3,1011,28,10,194,6,Comoros
2020-03-29,28,26,0.0,7.4,6,32,09:59 AM,09:48 PM,06:11 AM,06:12 PM,23,31,31,27,11,53,78,1.2,1010,28,10,226,9,Comoros
2020-03-30,29,27,0.0,6.0,6,40,10:51 AM,10:35 PM,06:11 AM,06:11 PM,24,32,32,28,25,67,82,5.5,1009,29,10,167,19,Comoros
2020-03-31,29,25,0.0,7.4,6,44,11:44 AM,11:27 PM,06:11 AM,06:11 PM,24,30,30,27,25,66,83,2.3,1010,29,10,177,20,Comoros
2020-04-01,29,24,0.0,8.8,6,56,12:39 PM,No moonset,06:11 AM,06:10 PM,22,29,29,27,21,47,78,1.1,1011,29,10,165,17,Comoros
2020-04-02,29,26,0.0,8.8,6,64,01:35 PM,12:22 AM,06:11 AM,06:09 PM,23,30,30,27,21,33,78,1.0,1010,29,10,168,18,Comoros
2020-04-03,29,26,0.0,7.4,6,71,02:29 PM,01:21 AM,06:11 AM,06:09 PM,22,30,30,27,15,60,74,2.1,1010,29,9,163,12,Comoros
2020-04-04,27,24,0.0,7.4,6,79,03:22 PM,02:20 AM,06:11 AM,06:08 PM,20,28,28,26,10,45,73,4.3,1010,27,10,193,7,Comoros
2020-04-05,28,25,0.0,8.8,6,87,04:13 PM,03:21 AM,06:11 AM,06:08 PM,22,29,29,27,10,54,74,0.7,1011,28,10,170,8,Comoros
2020-04-06,27,24,0.0,8.8,6,94,05:03 PM,04:21 AM,06:11 AM,06:07 PM,21,28,28,25,5,39,77,3.6,1012,27,10,193,3,Comoros
2020-04-07,29,24,0.0,11.6,6,100,05:52 PM,05:21 AM,06:11 AM,06:06 PM,21,28,28,26,7,19,75,0.6,1012,29,10,166,5,Comoros
2020-04-08,28,24,0.0,7.4,6,100,06:40 PM,06:20 AM,06:11 AM,06:06 PM,21,28,28,26,12,54,77,8.3,1013,28,9,150,7,Comoros
2020-04-09,28,24,0.0,6.0,6,83,07:30 PM,07:20 AM,06:11 AM,06:05 PM,22,29,29,26,32,50,81,2.7,1013,28,9,145,22,Comoros
2020-04-10,29,24,0.0,6.0,6,76,08:21 PM,08:20 AM,06:11 AM,06:05 PM,22,29,29,26,28,75,79,13.1,1012,29,9,135,17,Comoros
2020-04-11,29,24,0.0,6.0,6,68,09:15 PM,09:21 AM,06:12 AM,06:04 PM,21,29,29,26,17,79,75,10.5,1012,29,9,119,10,Comoros
2020-04-12,29,24,0.0,6.0,6,61,10:09 PM,10:21 AM,06:12 AM,06:04 PM,22,29,29,26,20,69,78,9.9,1012,29,9,132,13,Comoros
2020-04-13,29,25,0.0,6.0,6,53,11:05 PM,11:19 AM,06:12 AM,06:03 PM,22,30,30,27,18,71,77,8.5,1011,29,9,133,12,Comoros
2020-04-14,29,25,0.0,6.0,6,46,No moonrise,12:15 PM,06:12 AM,06:02 PM,22,30,30,27,10,72,75,10.7,1011,29,9,132,6,Comoros
2020-04-15,28,24,0.0,7.4,6,38,12:00 AM,01:06 PM,06:12 AM,06:02 PM,22,29,29,26,10,65,75,7.2,1012,28,9,138,6,Comoros
2020-04-16,29,24,0.0,5.9,6,30,12:53 AM,01:54 PM,06:12 AM,06:01 PM,21,29,29,26,13,80,77,11.4,1011,29,9,125,8,Comoros
2020-04-17,30,24,0.0,5.9,6,23,01:45 AM,02:37 PM,06:12 AM,06:01 PM,20,29,29,26,15,61,71,0.8,1011,30,10,127,10,Comoros
2020-04-18,29,24,0.0,7.4,6,15,02:33 AM,03:18 PM,06:12 AM,06:00 PM,21,29,29,26,21,44,76,3.1,1011,29,10,131,14,Comoros
2020-04-19,28,24,0.0,5.9,6,8,03:20 AM,03:56 PM,06:12 AM,06:00 PM,22,28,28,26,33,59,82,2.2,1011,28,9,155,23,Comoros
2020-04-20,28,24,0.0,7.2,6,0,04:06 AM,04:32 PM,06:12 AM,05:59 PM,22,29,29,26,21,50,77,19.8,1011,28,9,133,13,Comoros
2020-04-21,29,25,0.0,4.3,6,0,04:50 AM,05:09 PM,06:12 AM,05:59 PM,22,29,29,27,8,79,74,7.0,1012,29,9,211,6,Comoros
2020-04-22,27,19,0.0,7.2,6,0,05:35 AM,05:46 PM,06:12 AM,05:58 PM,22,28,28,25,10,60,78,4.7,1011,27,10,176,7,Comoros
2020-04-23,28,23,0.0,7.2,6,0,06:20 AM,06:23 PM,06:12 AM,05:58 PM,19,27,27,25,11,29,71,0.2,1011,28,10,164,7,Comoros
2020-04-24,28,24,0.0,4.3,6,7,07:08 AM,07:04 PM,06:12 AM,05:58 PM,22,29,29,26,21,73,81,28.5,1011,28,7,155,12,Comoros
2020-04-25,28,24,0.0,5.8,6,15,07:56 AM,07:47 PM,06:13 AM,05:57 PM,22,29,29,26,18,69,80,8.7,1011,28,9,137,12,Comoros
2020-04-26,28,24,0.0,4.3,6,22,08:47 AM,08:33 PM,06:13 AM,05:57 PM,23,29,29,26,28,72,85,11.4,1013,28,9,159,19,Comoros
2020-04-27,29,24,0.0,7.2,6,30,09:40 AM,09:23 PM,06:13 AM,05:56 PM,23,29,29,26,33,47,82,0.9,1014,29,10,161,24,Comoros
2020-04-28,29,25,0.0,7.2,6,37,10:34 AM,10:16 PM,06:13 AM,05:56 PM,23,30,30,27,9,57,77,1.0,1014,29,10,154,7,Comoros
2020-04-29,29,24,0.0,5.8,6,45,11:29 AM,11:13 PM,06:13 AM,05:55 PM,22,31,31,27,9,46,73,7.9,1014,29,9,139,6,Comoros
2020-04-30,29,25,0.0,5.8,6,52,12:22 PM,No moonset,06:13 AM,05:55 PM,23,30,30,27,20,38,77,0.6,1014,29,10,131,16,Comoros
2020-05-01,29,24,0.0,5.8,6,58,01:14 PM,12:10 AM,06:13 AM,05:55 PM,22,30,30,27,18,34,77,0.5,1015,29,10,128,15,Comoros
2020-05-02,28,25,0.0,8.7,6,65,02:04 PM,01:08 AM,06:13 AM,05:54 PM,23,30,30,26,27,38,82,0.9,1013,28,10,148,23,Comoros
2020-05-03,27,25,0.0,7.2,6,72,02:52 PM,02:06 AM,06:14 AM,05:54 PM,22,28,28,26,30,36,82,0.7,1012,27,10,152,23,Comoros
2020-05-04,26,24,0.0,7.2,5,80,03:40 PM,03:04 AM,06:14 AM,05:54 PM,22,27,27,24,39,73,85,6.6,1013,26,10,160,24,Comoros
2020-05-05,25,23,0.0,4.3,5,87,04:27 PM,04:02 AM,06:14 AM,05:53 PM,22,27,27,24,37,72,85,15.2,1014,25,9,163,22,Comoros
2020-05-06,28,24,0.0,4.3,6,94,05:15 PM,05:00 AM,06:14 AM,05:53 PM,23,29,29,26,30,82,83,2.3,1014,28,9,159,23,Comoros
2020-05-07,27,24,0.0,4.3,6,100,06:05 PM,06:00 AM,06:14 AM,05:53 PM,23,29,29,26,34,84,84,6.0,1013,27,9,167,25,Comoros
2020-05-08,27,23,0.0,4.3,6,100,06:59 PM,07:01 AM,06:14 AM,05:52 PM,22,28,28,25,35,80,84,3.7,1013,27,9,161,25,Comoros
2020-05-09,27,23,0.0,4.3,6,84,07:54 PM,08:02 AM,06:15 AM,05:52 PM,23,28,28,26,33,67,85,5.1,1014,27,9,165,25,Comoros
2020-05-10,27,21,0.0,4.3,6,77,08:51 PM,09:04 AM,06:15 AM,05:52 PM,23,28,28,25,32,72,85,20.2,1014,27,8,159,20,Comoros
2020-05-11,28,19,0.0,5.7,6,70,09:49 PM,10:03 AM,06:15 AM,05:52 PM,22,28,28,25,10,56,78,2.1,1014,28,10,211,8,Comoros
2020-05-12,27,19,0.0,7.2,6,62,10:44 PM,10:58 AM,06:15 AM,05:51 PM,23,28,28,25,14,73,82,13.5,1014,27,9,165,10,Comoros
2020-05-13,27,24,0.0,7.2,6,55,11:38 PM,11:48 AM,06:15 AM,05:51 PM,22,28,28,25,30,41,83,0.6,1013,27,10,147,22,Comoros
2020-05-14,28,23,0.0,8.7,7,48,No moonrise,12:34 PM,06:16 AM,05:51 PM,21,28,28,25,30,8,76,0.0,1014,28,10,157,23,Comoros
2020-05-15,26,19,0.0,7.2,6,40,12:28 AM,01:17 PM,06:16 AM,05:51 PM,21,26,26,24,30,17,79,0.1,1013,26,10,162,26,Comoros
2020-05-16,25,22,0.0,5.7,5,33,01:16 AM,01:56 PM,06:16 AM,05:51 PM,20,26,26,24,33,54,79,1.1,1014,25,10,167,27,Comoros
2020-05-17,26,21,0.0,7.2,6,26,02:02 AM,02:33 PM,06:16 AM,05:50 PM,22,27,27,24,30,59,83,1.0,1015,26,10,176,26,Comoros
2020-05-18,26,23,0.0,4.2,6,19,02:47 AM,03:09 PM,06:17 AM,05:50 PM,22,27,27,25,34,69,85,6.1,1015,26,9,164,25,Comoros
2020-05-19,28,23,0.0,4.2,6,11,03:32 AM,03:46 PM,06:17 AM,05:50 PM,22,28,28,25,33,72,80,6.9,1015,28,10,139,24,Comoros
2020-05-20,27,24,0.0,4.2,6,4,04:17 AM,04:23 PM,06:17 AM,05:50 PM,21,27,27,25,28,52,76,1.2,1016,27,10,136,23,Comoros
2020-05-21,26,22,0.0,4.2,5,0,05:04 AM,05:02 PM,06:17 AM,05:50 PM,20,26,26,24,33,51,75,2.2,1017,26,10,135,24,Comoros
2020-05-22,27,21,0.0,4.2,6,0,05:52 AM,05:45 PM,06:18 AM,05:50 PM,20,26,26,24,32,81,77,2.2,1017,27,10,139,24,Comoros
2020-05-23,26,22,0.0,5.7,5,3,06:43 AM,06:30 PM,06:18 AM,05:50 PM,21,27,27,24,39,43,82,0.5,1016,26,10,157,29,Comoros
2020-05-24,26,19,0.0,5.7,6,10,07:36 AM,07:20 PM,06:18 AM,05:50 PM,22,27,27,24,32,61,83,0.9,1015,26,10,159,27,Comoros
2020-05-25,27,22,0.0,4.2,6,17,08:30 AM,08:12 PM,06:18 AM,05:50 PM,21,27,27,25,29,50,80,1.5,1015,27,10,138,19,Comoros
2020-05-26,27,18,0.0,7.2,5,25,09:25 AM,09:08 PM,06:19 AM,05:50 PM,20,26,26,23,9,33,73,0.3,1015,27,10,177,6,Comoros
2020-05-27,27,21,0.0,8.7,7,32,10:19 AM,10:05 PM,06:19 AM,05:49 PM,20,27,27,25,7,16,75,0.0,1015,27,10,166,5,Comoros
2020-05-28,27,22,0.0,8.7,7,39,11:12 AM,11:03 PM,06:19 AM,05:49 PM,19,27,27,25,10,3,70,0.0,1016,27,10,171,8,Comoros
2020-05-29,27,22,0.0,8.7,6,47,12:01 PM,11:59 PM,06:19 AM,05:49 PM,20,27,27,25,27,16,76,0.2,1015,27,10,155,20,Comoros
2020-05-30,28,23,0.0,4.2,6,54,12:48 PM,No moonset,06:20 AM,05:49 PM,22,28,28,26,31,54,81,4.7,1015,28,10,154,23,Comoros
2020-05-31,27,23,0.0,4.2,6,58,01:35 PM,12:55 AM,06:20 AM,05:49 PM,22,28,28,25,36,66,82,1.5,1015,27,10,161,26,Comoros
2020-06-01,26,19,0.0,7.2,5,71,02:19 PM,01:51 AM,06:20 AM,05:50 PM,22,26,26,24,45,70,85,39.2,1016,26,7,157,25,Comoros
2020-06-02,27,24,0.0,5.7,6,79,03:06 PM,02:47 AM,06:21 AM,05:50 PM,21,27,27,25,32,35,79,0.8,1016,27,10,146,27,Comoros
2020-06-03,26,22,0.0,4.2,5,86,03:54 PM,03:44 AM,06:21 AM,05:50 PM,20,26,26,24,38,40,80,0.5,1015,26,10,151,28,Comoros
2020-06-04,26,22,0.0,8.7,6,94,04:44 PM,04:43 AM,06:21 AM,05:50 PM,21,27,27,24,35,17,80,0.1,1016,26,10,147,26,Comoros
2020-06-05,26,21,0.0,7.2,6,100,05:38 PM,05:44 AM,06:21 AM,05:50 PM,22,27,27,25,32,64,84,1.2,1016,26,10,157,27,Comoros
2020-06-06,26,22,0.0,5.7,5,100,06:34 PM,06:45 AM,06:22 AM,05:50 PM,22,27,27,25,36,69,83,1.2,1015,26,10,162,29,Comoros
2020-06-07,26,22,0.0,7.2,5,84,07:33 PM,07:46 AM,06:22 AM,05:50 PM,21,26,26,24,35,48,82,0.7,1015,26,10,156,26,Comoros
2020-06-08,26,24,0.0,5.7,6,76,08:30 PM,08:44 AM,06:22 AM,05:50 PM,21,27,27,25,23,43,80,0.5,1015,26,10,149,19,Comoros
2020-06-09,27,24,0.0,7.2,6,69,09:27 PM,09:38 AM,06:23 AM,05:50 PM,20,27,27,25,16,26,76,0.2,1015,27,10,127,14,Comoros
