date_time,Qatar_maxtempC,Qatar_mintempC,Qatar_totalSnow_cm,Qatar_sunHour,Qatar_uvIndex,Qatar_moon_illumination,Qatar_moonrise,Qatar_moonset,Qatar_sunrise,Qatar_sunset,Qatar_DewPointC,Qatar_FeelsLikeC,Qatar_HeatIndexC,Qatar_WindChillC,Qatar_WindGustKmph,Qatar_cloudcover,Qatar_humidity,Qatar_precipMM,Qatar_pressure,Qatar_tempC,Qatar_visibility,Qatar_winddirDegree,Qatar_windspeedKmph,Qatar_location
2020-01-01,23,19,0.0,8.7,6,37,10:40 AM,10:30 PM,06:19 AM,04:55 PM,12,21,22,21,29,8,56,0.0,1015,23,10,298,19,Qatar
2020-01-02,22,18,0.0,8.7,6,44,11:12 AM,11:21 PM,06:19 AM,04:56 PM,11,20,21,20,17,11,58,0.0,1018,22,10,192,12,Qatar
2020-01-03,24,17,0.0,8.7,6,51,11:44 AM,No moonset,06:20 AM,04:56 PM,15,23,23,21,20,17,68,0.0,1017,24,10,117,13,Qatar
2020-01-04,28,22,0.0,8.7,7,59,12:15 PM,12:11 AM,06:20 AM,04:57 PM,13,26,26,25,37,5,49,0.0,1013,28,10,177,21,Qatar
2020-01-05,23,19,0.0,5.5,5,66,12:49 PM,01:02 AM,06:20 AM,04:58 PM,14,21,23,21,33,50,66,0.5,1011,23,10,261,23,Qatar
2020-01-06,20,17,0.0,8.7,5,73,01:26 PM,01:55 AM,06:20 AM,04:58 PM,10,19,19,19,36,19,59,1.0,1018,20,9,337,26,Qatar
2020-01-07,21,16,0.0,8.7,5,80,02:06 PM,02:51 AM,06:21 AM,04:59 PM,11,18,19,18,29,4,61,0.0,1019,21,10,332,20,Qatar
2020-01-08,21,15,0.0,8.7,5,88,02:52 PM,03:49 AM,06:21 AM,05:00 PM,10,18,19,18,15,9,57,0.0,1017,21,10,215,10,Qatar
2020-01-09,22,11,0.0,8.7,4,95,03:44 PM,04:48 AM,06:21 AM,05:01 PM,13,18,19,18,17,40,65,1.6,1014,22,9,130,11,Qatar
2020-01-10,21,18,0.0,4.1,5,100,04:42 PM,05:49 AM,06:21 AM,05:01 PM,17,20,20,20,25,82,84,17.8,1009,21,8,164,17,Qatar
2020-01-11,18,16,0.0,8.7,5,100,05:46 PM,06:47 AM,06:21 AM,05:02 PM,9,17,17,17,41,2,60,0.0,1011,18,10,302,30,Qatar
2020-01-12,17,14,0.0,8.7,5,83,06:51 PM,07:42 AM,06:21 AM,05:03 PM,6,15,15,15,45,0,55,0.0,1019,17,10,306,32,Qatar
2020-01-13,19,14,0.0,8.7,5,76,07:57 PM,08:31 AM,06:21 AM,05:04 PM,6,16,16,16,29,5,53,0.0,1020,19,10,306,20,Qatar
2020-01-14,19,14,0.0,8.7,5,69,09:01 PM,09:17 AM,06:21 AM,05:04 PM,3,16,16,16,26,3,41,0.0,1018,19,10,291,18,Qatar
2020-01-15,20,15,0.0,8.7,5,61,10:04 PM,09:58 AM,06:21 AM,05:05 PM,8,17,18,17,33,13,53,0.1,1022,20,10,144,23,Qatar
2020-01-16,20,15,0.0,8.7,5,54,11:05 PM,10:37 AM,06:21 AM,05:06 PM,9,18,18,18,23,1,56,0.0,1024,20,10,321,15,Qatar
2020-01-17,21,16,0.0,8.7,5,47,No moonrise,11:16 AM,06:21 AM,05:07 PM,10,18,18,18,18,3,59,0.0,1021,21,10,205,12,Qatar
2020-01-18,22,17,0.0,8.7,5,40,12:06 AM,11:55 AM,06:21 AM,05:07 PM,12,19,20,19,21,1,62,0.0,1017,22,10,144,14,Qatar
2020-01-19,24,19,0.0,8.7,6,32,01:07 AM,12:36 PM,06:21 AM,05:08 PM,10,21,21,21,24,17,53,0.0,1016,24,10,204,15,Qatar
2020-01-20,22,18,0.0,8.7,6,25,02:07 AM,01:20 PM,06:21 AM,05:09 PM,10,20,20,20,37,7,56,0.0,1018,22,10,328,26,Qatar
2020-01-21,21,16,0.0,8.7,5,18,03:08 AM,02:07 PM,06:20 AM,05:10 PM,9,19,19,19,30,0,55,0.0,1018,21,10,213,20,Qatar
2020-01-22,21,13,0.0,8.7,5,11,04:07 AM,02:58 PM,06:20 AM,05:10 PM,11,18,19,18,26,7,61,0.0,1016,21,10,113,18,Qatar
2020-01-23,19,15,0.0,5.6,4,3,05:03 AM,03:52 PM,06:20 AM,05:11 PM,13,18,18,18,35,56,72,1.1,1017,19,9,280,26,Qatar
2020-01-24,19,15,0.0,8.7,5,0,05:55 AM,04:47 PM,06:20 AM,05:12 PM,8,17,17,17,27,29,56,2.2,1020,19,10,335,19,Qatar
2020-01-25,21,14,0.0,8.7,5,0,06:42 AM,05:43 PM,06:19 AM,05:13 PM,5,17,17,17,13,2,46,0.0,1019,21,10,226,9,Qatar
2020-01-26,16,9,0.0,8.7,3,4,07:25 AM,06:37 PM,06:19 AM,05:14 PM,5,13,14,13,42,22,52,0.2,1021,16,10,312,31,Qatar
2020-01-27,18,14,0.0,8.7,5,11,08:03 AM,07:31 PM,06:19 AM,05:14 PM,8,15,16,15,43,4,62,0.0,1022,18,10,314,31,Qatar
2020-01-28,20,14,0.0,8.7,5,18,08:38 AM,08:22 PM,06:19 AM,05:15 PM,9,16,16,16,29,0,63,0.0,1021,20,10,327,20,Qatar
2020-01-29,19,14,0.0,5.6,4,26,09:11 AM,09:13 PM,06:18 AM,05:16 PM,8,16,16,16,15,35,59,0.0,1019,19,10,226,9,Qatar
2020-01-30,21,15,0.0,8.7,5,33,09:43 AM,10:02 PM,06:18 AM,05:17 PM,7,18,18,18,22,3,51,0.0,1019,21,10,244,14,Qatar
2020-01-31,20,14,0.0,8.7,5,37,10:14 AM,10:53 PM,06:17 AM,05:17 PM,7,17,17,17,15,0,54,0.0,1018,20,10,249,9,Qatar
2020-02-01,21,15,0.0,8.7,5,49,10:47 AM,11:44 PM,06:17 AM,05:18 PM,9,18,18,18,19,12,57,0.0,1017,21,10,134,12,Qatar
2020-02-02,20,16,0.0,8.7,5,57,11:21 AM,No moonset,06:17 AM,05:19 PM,10,18,18,18,31,8,60,0.0,1019,20,10,296,21,Qatar
2020-02-03,20,15,0.0,8.7,5,64,11:59 AM,12:37 AM,06:16 AM,05:19 PM,7,16,17,16,33,0,54,0.0,1022,20,10,326,22,Qatar
2020-02-04,20,14,0.0,8.7,5,72,12:41 PM,01:33 AM,06:16 AM,05:20 PM,8,16,17,16,25,3,56,0.0,1020,20,10,328,17,Qatar
2020-02-05,22,15,0.0,8.7,5,79,01:29 PM,02:31 AM,06:15 AM,05:21 PM,9,18,19,18,15,11,57,0.0,1019,22,10,258,9,Qatar
2020-02-06,23,17,0.0,8.7,6,87,02:23 PM,03:30 AM,06:15 AM,05:22 PM,9,20,20,20,12,8,49,0.0,1019,23,10,156,7,Qatar
2020-02-07,24,19,0.0,8.7,6,95,03:25 PM,04:29 AM,06:14 AM,05:22 PM,9,22,22,21,16,13,45,0.0,1018,24,10,132,9,Qatar
2020-02-08,25,20,0.0,8.7,6,100,04:29 PM,05:26 AM,06:13 AM,05:23 PM,12,23,23,22,37,9,53,0.0,1016,25,10,146,20,Qatar
2020-02-09,25,20,0.0,8.7,6,100,05:37 PM,06:19 AM,06:13 AM,05:24 PM,14,23,23,22,19,7,60,0.0,1016,25,10,267,11,Qatar
2020-02-10,21,18,0.0,8.7,5,83,06:44 PM,07:08 AM,06:12 AM,05:24 PM,11,19,19,19,42,17,58,0.0,1016,21,10,306,31,Qatar
2020-02-11,17,14,0.0,7.2,4,75,07:50 PM,07:52 AM,06:12 AM,05:25 PM,8,15,16,15,44,52,58,0.1,1018,17,10,350,32,Qatar
2020-02-12,15,12,0.0,8.7,4,68,08:54 PM,08:34 AM,06:11 AM,05:26 PM,4,11,13,11,42,1,55,0.0,1025,15,10,327,32,Qatar
2020-02-13,18,11,0.0,8.7,5,60,09:58 PM,09:14 AM,06:10 AM,05:26 PM,7,13,14,13,38,0,61,0.0,1026,18,10,322,28,Qatar
2020-02-14,21,13,0.0,8.7,5,53,11:00 PM,09:54 AM,06:10 AM,05:27 PM,9,16,17,16,30,0,63,0.0,1022,21,10,322,20,Qatar
2020-02-15,23,15,0.0,8.7,5,45,No moonrise,10:35 AM,06:09 AM,05:28 PM,10,18,19,18,32,0,59,0.0,1019,23,10,328,20,Qatar
2020-02-16,22,16,0.0,8.7,5,38,12:02 AM,11:19 AM,06:08 AM,05:28 PM,13,19,19,19,18,20,69,0.0,1018,22,10,184,11,Qatar
2020-02-17,23,17,0.0,8.7,6,30,01:03 AM,12:05 PM,06:07 AM,05:29 PM,13,20,20,20,24,17,64,0.0,1017,23,10,130,14,Qatar
2020-02-18,25,20,0.0,8.7,6,22,02:02 AM,12:54 PM,06:07 AM,05:29 PM,11,23,23,22,23,17,49,0.0,1017,25,10,119,13,Qatar
2020-02-19,25,20,0.0,8.7,6,15,02:59 AM,01:47 PM,06:06 AM,05:30 PM,10,23,23,22,28,7,45,0.0,1014,25,10,112,15,Qatar
2020-02-20,27,20,0.0,8.7,6,7,03:51 AM,02:41 PM,06:05 AM,05:31 PM,11,23,23,23,39,25,49,0.0,1011,27,10,193,22,Qatar
2020-02-21,23,18,0.0,8.7,6,0,04:39 AM,03:36 PM,06:04 AM,05:31 PM,12,20,21,20,35,2,60,0.0,1015,23,10,345,24,Qatar
2020-02-22,23,17,0.0,8.7,6,0,05:23 AM,04:30 PM,06:04 AM,05:32 PM,12,20,21,20,21,7,62,0.0,1018,23,10,124,14,Qatar
2020-02-23,24,19,0.0,8.7,6,0,06:02 AM,05:24 PM,06:03 AM,05:32 PM,16,23,23,21,23,6,71,0.0,1017,24,10,68,14,Qatar
2020-02-24,26,21,0.0,8.7,6,0,06:38 AM,06:16 PM,06:02 AM,05:33 PM,16,25,25,23,28,7,65,0.0,1015,26,10,104,16,Qatar
2020-02-25,27,22,0.0,7.2,5,8,07:12 AM,07:07 PM,06:01 AM,05:34 PM,16,26,26,24,41,76,60,0.0,1011,27,10,126,22,Qatar
2020-02-26,24,19,0.0,11.3,6,15,07:44 AM,07:57 PM,06:00 AM,05:34 PM,11,23,23,22,44,12,50,0.0,1013,24,10,306,28,Qatar
2020-02-27,22,16,0.0,11.6,5,23,08:15 AM,08:47 PM,05:59 AM,05:35 PM,7,19,19,19,33,0,48,0.0,1017,22,10,317,23,Qatar
2020-02-28,23,16,0.0,11.6,6,30,08:46 AM,09:38 PM,05:58 AM,05:35 PM,11,19,20,19,31,0,59,0.0,1016,23,10,335,21,Qatar
2020-02-29,24,15,0.0,11.6,6,38,09:20 AM,10:29 PM,05:58 AM,05:36 PM,10,19,19,19,18,3,59,0.0,1013,24,10,221,11,Qatar
2020-03-01,24,18,0.0,11.6,6,44,09:55 AM,11:23 PM,05:57 AM,05:36 PM,12,21,22,21,23,1,58,0.0,1012,24,10,134,14,Qatar
2020-03-02,25,18,0.0,11.6,6,51,10:34 AM,No moonset,05:56 AM,05:37 PM,12,22,22,21,31,1,55,0.0,1014,25,10,218,21,Qatar
2020-03-03,23,17,0.0,11.6,6,58,11:19 AM,12:18 AM,05:55 AM,05:37 PM,9,19,19,19,42,0,52,0.0,1017,23,10,331,29,Qatar
2020-03-04,23,17,0.0,11.6,6,65,12:09 PM,01:15 AM,05:54 AM,05:38 PM,7,19,20,19,42,0,46,0.0,1016,23,10,324,28,Qatar
2020-03-05,24,16,0.0,11.6,6,73,01:05 PM,02:13 AM,05:53 AM,05:38 PM,10,20,21,20,30,0,55,0.0,1016,24,10,335,20,Qatar
2020-03-06,24,16,0.0,11.6,6,80,02:07 PM,03:10 AM,05:52 AM,05:39 PM,11,20,20,20,16,0,61,0.0,1015,24,10,191,10,Qatar
2020-03-07,24,18,0.0,11.6,6,87,03:12 PM,04:03 AM,05:51 AM,05:39 PM,10,21,22,21,27,0,52,0.0,1014,24,10,126,16,Qatar
2020-03-08,27,18,0.0,11.6,6,95,04:20 PM,04:54 AM,05:50 AM,05:40 PM,11,22,22,22,23,0,51,0.0,1013,27,10,182,14,Qatar
2020-03-09,24,18,0.0,11.6,6,100,05:28 PM,05:41 AM,05:49 AM,05:40 PM,10,22,22,21,29,3,51,0.0,1014,24,10,285,19,Qatar
2020-03-10,23,18,0.0,11.6,6,100,06:34 PM,06:24 AM,05:48 AM,05:41 PM,13,20,21,20,24,0,63,0.0,1016,23,10,167,15,Qatar
2020-03-11,24,16,0.0,11.6,6,84,07:40 PM,07:06 AM,05:47 AM,05:41 PM,9,20,20,20,11,0,52,0.0,1017,24,10,88,7,Qatar
2020-03-12,24,18,0.0,8.8,5,76,08:45 PM,07:48 AM,05:46 AM,05:42 PM,9,21,22,21,14,45,48,0.0,1016,24,10,86,9,Qatar
2020-03-13,25,19,0.0,7.4,5,69,09:51 PM,08:30 AM,05:45 AM,05:42 PM,11,23,23,22,27,83,52,0.0,1015,25,10,105,16,Qatar
2020-03-14,27,21,0.0,11.6,6,62,10:54 PM,09:14 AM,05:44 AM,05:43 PM,12,25,25,24,35,42,49,0.0,1013,27,10,125,20,Qatar
2020-03-15,28,18,0.0,11.6,7,55,11:56 PM,10:01 AM,05:43 AM,05:43 PM,13,25,25,23,42,12,53,0.0,1010,28,10,126,24,Qatar
2020-03-16,27,22,0.0,11.6,6,47,No moonrise,10:50 AM,05:42 AM,05:44 PM,15,26,26,24,41,6,56,0.0,1012,27,10,119,23,Qatar
2020-03-17,26,21,0.0,11.6,6,40,12:55 AM,11:43 AM,05:41 AM,05:44 PM,15,25,25,23,26,15,62,0.0,1014,26,10,80,16,Qatar
2020-03-18,28,22,0.0,11.6,5,33,01:49 AM,12:36 PM,05:40 AM,05:45 PM,16,25,25,24,32,36,63,1.0,1012,28,10,120,19,Qatar
2020-03-19,26,18,0.0,10.2,5,25,02:38 AM,01:32 PM,05:39 AM,05:45 PM,17,25,25,24,44,26,66,0.3,1010,26,10,92,28,Qatar
2020-03-20,26,19,0.0,11.6,5,18,03:23 AM,02:26 PM,05:38 AM,05:45 PM,16,24,24,23,21,20,66,0.5,1010,26,10,42,14,Qatar
2020-03-21,25,22,0.0,6.0,5,11,04:03 AM,03:19 PM,05:37 AM,05:46 PM,16,25,25,24,27,81,63,10.0,1006,25,10,110,17,Qatar
2020-03-22,30,20,0.0,11.6,7,4,04:39 AM,04:11 PM,05:36 AM,05:46 PM,15,25,25,24,43,22,63,2.6,1007,30,10,223,29,Qatar
2020-03-23,23,18,0.0,11.6,6,0,05:13 AM,05:02 PM,05:35 AM,05:47 PM,8,20,21,20,33,0,45,0.0,1013,23,10,326,24,Qatar
2020-03-24,24,17,0.0,11.6,6,0,05:46 AM,05:53 PM,05:34 AM,05:47 PM,8,20,21,20,16,10,47,0.0,1013,24,10,259,11,Qatar
2020-03-25,24,19,0.0,11.6,6,3,06:16 AM,06:43 PM,05:33 AM,05:48 PM,10,23,23,22,17,18,47,0.0,1012,24,10,113,12,Qatar
2020-03-26,24,20,0.0,11.6,6,11,06:48 AM,07:34 PM,05:32 AM,05:48 PM,13,23,23,22,25,11,58,0.0,1012,24,10,116,17,Qatar
2020-03-27,26,18,0.0,10.2,5,18,07:21 AM,08:25 PM,05:31 AM,05:49 PM,15,25,25,23,43,18,58,0.0,1012,26,10,114,27,Qatar
2020-03-28,27,18,0.0,11.6,5,25,07:55 AM,09:18 PM,05:30 AM,05:49 PM,16,25,25,24,54,38,59,0.3,1009,27,10,97,33,Qatar
2020-03-29,27,22,0.0,10.2,6,32,08:32 AM,10:12 PM,05:29 AM,05:49 PM,17,26,26,24,53,38,65,1.1,1005,27,10,128,35,Qatar
2020-03-30,27,21,0.0,11.6,6,40,09:14 AM,11:07 PM,05:27 AM,05:50 PM,13,25,25,24,38,2,54,0.0,1011,27,10,219,26,Qatar
2020-03-31,27,20,0.0,11.6,6,44,10:01 AM,No moonset,05:26 AM,05:50 PM,9,23,23,23,30,3,39,0.0,1015,27,10,340,18,Qatar
2020-04-01,29,21,0.0,11.6,7,56,10:53 AM,12:03 AM,05:25 AM,05:51 PM,11,25,25,25,23,3,44,0.0,1014,29,10,220,14,Qatar
2020-04-02,29,23,0.0,11.6,7,64,11:51 AM,12:59 AM,05:24 AM,05:51 PM,13,26,26,26,29,8,46,0.0,1011,29,10,126,16,Qatar
2020-04-03,31,24,0.0,11.6,7,71,12:53 PM,01:52 AM,05:23 AM,05:52 PM,15,27,27,27,37,17,48,0.0,1010,31,10,114,20,Qatar
2020-04-04,29,24,0.0,11.6,7,79,01:58 PM,02:42 AM,05:22 AM,05:52 PM,14,27,27,26,28,3,48,0.0,1013,29,10,93,16,Qatar
2020-04-05,31,23,0.0,11.6,7,87,03:04 PM,03:29 AM,05:21 AM,05:52 PM,11,27,27,26,41,12,39,0.2,1015,31,10,258,25,Qatar
2020-04-06,31,23,0.0,10.2,6,94,04:10 PM,04:13 AM,05:20 AM,05:53 PM,8,26,26,26,32,20,34,0.0,1014,31,10,325,18,Qatar
2020-04-07,31,25,0.0,11.6,7,100,05:17 PM,04:55 AM,05:19 AM,05:53 PM,8,26,26,27,21,4,31,0.0,1012,31,10,176,12,Qatar
2020-04-08,34,26,0.0,11.6,8,100,06:23 PM,05:37 AM,05:18 AM,05:54 PM,11,29,29,29,34,3,33,0.0,1009,34,10,155,18,Qatar
2020-04-09,35,28,0.0,11.6,8,83,07:30 PM,06:19 AM,05:17 AM,05:54 PM,14,30,30,30,42,7,39,0.0,1009,35,10,151,21,Qatar
2020-04-10,36,27,0.0,8.9,7,76,08:36 PM,07:03 AM,05:16 AM,05:55 PM,15,31,31,30,45,30,41,0.0,1007,36,10,148,23,Qatar
2020-04-11,35,28,0.0,11.6,8,68,09:42 PM,07:50 AM,05:15 AM,05:55 PM,14,31,31,31,56,32,36,0.0,1006,35,10,160,29,Qatar
2020-04-12,33,26,0.0,11.6,6,61,10:44 PM,08:40 AM,05:14 AM,05:56 PM,16,30,30,29,24,31,47,5.2,1007,33,10,190,13,Qatar
2020-04-13,26,23,0.0,7.6,6,53,11:43 PM,09:34 AM,05:13 AM,05:56 PM,19,26,26,25,37,72,69,3.9,1010,26,10,105,27,Qatar
2020-04-14,27,22,0.0,11.6,7,46,No moonrise,10:29 AM,05:12 AM,05:56 PM,15,26,26,24,25,21,58,0.8,1012,27,10,102,18,Qatar
2020-04-15,23,22,0.0,6.2,5,38,12:35 AM,11:25 AM,05:11 AM,05:57 PM,15,25,25,23,28,66,61,10.8,1012,23,9,142,19,Qatar
2020-04-16,25,22,0.0,6.2,5,30,01:22 AM,12:20 PM,05:10 AM,05:57 PM,19,25,25,23,19,72,80,12.5,1011,25,9,101,13,Qatar
2020-04-17,28,22,0.0,11.6,7,23,02:04 AM,01:15 PM,05:10 AM,05:58 PM,14,26,26,25,14,2,52,0.0,1010,28,10,122,9,Qatar
2020-04-18,28,24,0.0,11.6,7,15,02:41 AM,02:07 PM,05:09 AM,05:58 PM,15,26,26,26,30,13,52,0.0,1010,28,10,111,19,Qatar
2020-04-19,31,25,0.0,11.6,6,8,03:16 AM,02:59 PM,05:08 AM,05:59 PM,18,29,29,28,24,32,57,0.3,1008,31,10,91,14,Qatar
2020-04-20,29,26,0.0,11.6,7,0,03:48 AM,03:49 PM,05:07 AM,05:59 PM,18,28,28,27,22,48,58,1.5,1010,29,10,161,13,Qatar
2020-04-21,27,25,0.0,10.7,6,0,04:19 AM,04:39 PM,05:06 AM,06:00 PM,18,27,27,26,22,58,59,4.8,1012,27,10,177,13,Qatar
2020-04-22,30,24,0.0,13.0,7,0,04:50 AM,05:30 PM,05:05 AM,06:00 PM,17,27,27,26,12,25,57,0.5,1011,30,10,143,8,Qatar
2020-04-23,30,24,0.0,13.0,7,0,05:22 AM,06:21 PM,05:04 AM,06:01 PM,18,28,28,27,18,5,59,0.0,1010,30,10,78,12,Qatar
2020-04-24,33,25,0.0,13.0,7,7,05:56 AM,07:14 PM,05:03 AM,06:01 PM,18,30,30,29,27,1,53,0.0,1008,33,10,131,15,Qatar
2020-04-25,36,28,0.0,13.0,8,15,06:32 AM,08:08 PM,05:02 AM,06:02 PM,15,31,31,31,32,0,39,0.0,1007,36,10,146,17,Qatar
2020-04-26,38,29,0.0,13.0,8,22,07:13 AM,09:03 PM,05:02 AM,06:02 PM,15,33,33,33,40,12,35,0.3,1005,38,10,156,21,Qatar
